425, 1
424, 1
422, 1
418, 1
415, 1
413, 1
412, 1
411, 1
410, 1
409, 1
408, 1
407, 1
402, 1
401, 1
400, 1
398, 1
397, 1
394, 1
393, 1
390, 1
389, 1
387, 1
386, 1
385, 1
384, 1
381, 1
378, 1
376, 1
374, 1
373, 1
371, 1
369, 1
368, 1
366, 1
365, 1
363, 1
361, 1
356, 1
355, 1
350, 1
346, 1
345, 1
344, 1
343, 1
342, 1
338, 1
337, 1
330, 1
328, 1
320, 1
319, 1
318, 1
316, 1
312, 1
286, 1
283, 1
282, 1
281, 1
278, 1
277, 1
274, 1
271, 1
270, 1
269, 1
267, 1
266, 1
263, 1
261, 1
259, 1
258, 1
257, 1
256, 1
246, 1
245, 1
241, 1
240, 1
236, 1
210, 1
209, 1
204, 1
203, 1
202, 1
198, 1
192, 1
180, 1
156, 1
144, 1
272, 0
239, 0
226, 0
225, 0
224, 0
222, 0
220, 0
219, 0
217, 0
216, 0
188, 0
173, 0
171, 0
170, 0
168, 0
166, 0
163, 0
162, 0
161, 0
152, 0
149, 0
141, 0
137, 0
131, 0
129, 0
115, 0
108, 0
106, 0
99, 0
98, 0
89, 0
87, 0
68, 0
66, 0
64, 0
62, 0
60, 0
57, 0
55, 0
51, 0
50, 0
49, 0
42, 0
41, 0
40, 0
38, 0
28, 0
26, 0
11, 0
10, 0
9, 0
7, 0
1, 0
700, 0
701, 0
702, 0
703, 0
704, 0
705, 0
706, 0
707, 0
708, 0
